iter	RMSE
170	0.8630163747
171	0.8629726678
172	0.8629397608
173	0.8629050451
174	0.8628833053
175	0.8628609228
176	0.8628259706
177	0.8627900506
178	0.8627534504
179	0.8627123867
180	0.8626805394
181	0.8626488658
182	0.8626152424
183	0.862577316
184	0.8625373358
185	0.8625009698
186	0.8624747898
187	0.8624423244
188	0.8624070876
189	0.8623773844
190	0.8623434115
191	0.8623152743
192	0.8622865751
193	0.8622538871
194	0.8622226039
195	0.8621939167
196	0.8621584934
197	0.8621278019
198	0.8620926788
199	0.8620542159
200	0.8620167405
201	0.8619852224
202	0.861959984
203	0.8619293696
204	0.8618969129
205	0.8618632888
206	0.8618378668
207	0.8618119535
208	0.8617753412
209	0.861746633
210	0.861716533
211	0.8616771571
212	0.8616379435
213	0.8616161839
214	0.8615821254
215	0.8615502047
216	0.8615200654
217	0.861494678
218	0.861472512
219	0.8614390293
220	0.8614086999
221	0.861384077
222	0.861348312
223	0.8613145695
224	0.8612922854
225	0.8612622627
226	0.86123225
227	0.8612070285
228	0.8611685549
229	0.861139507
230	0.8611005912
231	0.8610730469
232	0.8610394743
233	0.8610087022
234	0.8609777853
235	0.8609415817
236	0.8609126871
237	0.860880088
238	0.8608468824
239	0.8608159667
240	0.8607892934
241	0.8607468503
242	0.8607185247
243	0.8606940039
244	0.8606676429
245	0.8606386099
246	0.8606173914
247	0.8605827216
248	0.860553095
249	0.8605279782
250	0.86049764
251	0.860469755
252	0.8604436092
253	0.8604116726
254	0.8603807732
255	0.8603481582
256	0.8603177591
257	0.8602884036
258	0.8602579828
259	0.8602344207
260	0.8602005996
261	0.8601745703
262	0.8601444351
263	0.8601058663
264	0.8600724821
265	0.8600340678
266	0.8600090575
267	0.8599776373
268	0.8599416566
269	0.859921561
270	0.8598874935
271	0.8598536484
272	0.8598233449
273	0.8597871557
274	0.859759031
275	0.8597303411
276	0.8597157927
277	0.8596869556
278	0.8596521375
279	0.8596190995
280	0.8595956082
281	0.8595675081
282	0.8595450572
283	0.8595255459
284	0.859501422
285	0.8594671617
286	0.8594381388
287	0.8594018239
288	0.8593701834
289	0.8593484615
290	0.8593280815
291	0.8593023962
292	0.8592791727
293	0.8592536313
294	0.8592224058
295	0.8592001474
296	0.8591731356
297	0.8591421556
298	0.8591086387
299	0.8590785822
300	0.8590572783
301	0.8590365738
302	0.8590051466
303	0.858981829
304	0.8589553047
305	0.858920092
306	0.8588824753
307	0.8588672758
308	0.8588366976
309	0.8588126987
310	0.8587816906
311	0.858746638
312	0.8587137841
313	0.8586904752
314	0.8586607219
315	0.8586306079
316	0.8585982942
317	0.8585649278
318	0.8585414409
319	0.858507662
320	0.8584735164
321	0.858442003
322	0.8584086434
323	0.8583896649
324	0.8583588124
325	0.85834409
326	0.8583159965
327	0.8582872944
328	0.8582565963
329	0.8582255255
330	0.8581991659
331	0.8581751784
332	0.8581484939
333	0.8581171836
334	0.858088315
335	0.8580556537
336	0.8580271281
337	0.8580011234
338	0.8579748191
339	0.857940667
340	0.8579214816
341	0.8578949564
342	0.8578677552
343	0.8578289897
344	0.8578021466
345	0.8577808171
346	0.8577560489
347	0.8577352062
348	0.8577008777
349	0.8576767266
350	0.8576517236
351	0.8576290636
352	0.8576027957
353	0.8575745478
354	0.8575478063
355	0.8575212267
356	0.8574981152
357	0.8574753196
358	0.8574416895
359	0.8574163686
360	0.8573843156
361	0.8573473157
362	0.857325317
363	0.8572913286
364	0.8572727031
365	0.8572520991
366	0.8572306121
367	0.8572033315
368	0.857171519
369	0.8571469557
370	0.8571253532
371	0.8571045464
372	0.8570800553
373	0.8570524808
374	0.857025783
375	0.8569935502
376	0.8569711254
377	0.8569428062
378	0.856918114
379	0.8568916719
380	0.8568659269
381	0.8568344832
382	0.8568127222
383	0.856779364
384	0.856755394
385	0.8567245293
386	0.8566927498
387	0.8566673862
388	0.8566387171
389	0.8566186627
390	0.8565983056
391	0.8565775301
392	0.856561329
393	0.8565310428
394	0.8565099579
395	0.8564850392
396	0.8564638302
397	0.8564459202
398	0.8564145942
399	0.8563942545
400	0.8563691828
401	0.8563359544
402	0.8563031419
403	0.8562752818
404	0.8562507742
405	0.8562231038
406	0.8561892446
407	0.856168692
408	0.8561433136
409	0.8561062336
410	0.85608368
411	0.8560617422
412	0.8560343166
413	0.8560097392
414	0.855988361
415	0.8559639504
416	0.8559407
417	0.8559120792
418	0.8558888125
419	0.8558658895
420	0.855840891
421	0.8558163989
422	0.855793327
423	0.8557640377
424	0.8557354328
425	0.8557044119
426	0.8556758294
427	0.8556507707
428	0.8556174087
429	0.8555940976
430	0.855572233
431	0.8555483218
432	0.8555227079
433	0.8554926334
434	0.8554706872
435	0.8554457921
436	0.8554163689
437	0.8553926689
438	0.8553672843
439	0.8553366776
440	0.8553099385
441	0.855281157
442	0.8552543541
443	0.8552269455
444	0.8551953909
445	0.8551769013
446	0.8551500034
447	0.8551259295
448	0.8551019511
449	0.8550787606
450	0.8550521905
451	0.8550236917
452	0.8550020577
453	0.8549785341
454	0.8549531557
455	0.8549286588
456	0.8548969489
457	0.8548751441
458	0.8548441615
459	0.8548198713
460	0.8548040597
461	0.8547762601
462	0.854755084
463	0.8547312601
464	0.8547064598
465	0.85468238
466	0.8546585761
467	0.8546383075
468	0.8546146984
469	0.8545886877
470	0.8545616738
471	0.8545363758
472	0.8545067366
473	0.854476632
474	0.8544610385
475	0.8544422126
476	0.8544200128
477	0.8543894436
478	0.8543643778
479	0.8543317769
480	0.8543092558
481	0.8542906167
482	0.854267991
483	0.8542457706
484	0.8542167798
485	0.8541884407
486	0.8541619765
487	0.8541320183
488	0.8541100549
489	0.8540928667
490	0.8540674833
491	0.8540444904
492	0.8540197381
493	0.8539924896
494	0.8539729818
495	0.8539572606
496	0.8539351635
497	0.8539025091
498	0.8538726872
499	0.8538400852
500	0.853818512
501	0.8537983163
502	0.8537707444
503	0.8537410377
504	0.8537200879
505	0.8536937399
506	0.8536701423
507	0.853647749
508	0.8536267446
509	0.8536041699
510	0.8535822069
511	0.8535640304
512	0.8535396805
513	0.8535167125
514	0.8534953444
515	0.8534695461
516	0.8534511143
517	0.8534261007
518	0.8534049385
519	0.8533790888
520	0.853351268
521	0.853327973
522	0.8533093528
523	0.8532828898
524	0.8532619533
525	0.8532420986
526	0.8532118205
527	0.8531859617
528	0.8531648584
529	0.853137802
530	0.8531221797
531	0.8530993572
532	0.8530870776
533	0.8530615998
534	0.8530258854
535	0.8530040189
536	0.85298747
537	0.8529656188
538	0.8529445942
539	0.8529230025
540	0.8529008579
541	0.8528771974
542	0.8528526003
543	0.8528295998
544	0.8528010027
545	0.8527792283
546	0.8527548701
547	0.8527275268
548	0.8527077851
549	0.8526781252
550	0.8526545923
551	0.8526300996
552	0.8526011566
553	0.852573716
554	0.852540372
555	0.8525189311
556	0.8524988867
557	0.8524698478
558	0.8524386412
559	0.8524139341
560	0.8523864662
561	0.8523557666
562	0.852330151
563	0.8523097394
564	0.8522891995
565	0.8522677271
566	0.852246962
567	0.8522241251
568	0.8522014335
569	0.8521794704
570	0.8521606243
571	0.8521374296
572	0.8521157598
573	0.8520945496
574	0.8520742876
575	0.8520477939
576	0.8520231178
577	0.8519949208
578	0.8519704109
579	0.8519481249
580	0.8519286172
581	0.8519063268
582	0.8518825537
583	0.8518532409
584	0.8518225345
585	0.8517986035
586	0.8517711353
587	0.8517488812
588	0.8517258794
589	0.8517022945
590	0.851672761
591	0.8516494183
592	0.8516248482
593	0.851603149
594	0.8515750973
595	0.8515515162
596	0.851530411
597	0.8515093144
598	0.8514861649
599	0.8514588418
600	0.8514286704
601	0.8514039219
602	0.8513766496
603	0.8513575919
604	0.8513288116
605	0.8513143906
606	0.8512867737
607	0.851257853
608	0.8512314145
609	0.8512133605
610	0.8511880816
611	0.8511632473
612	0.8511439461
613	0.851119463
614	0.8510993154
615	0.8510761679
616	0.8510581269
617	0.8510326293
618	0.8510110875
619	0.8509899048
620	0.8509638011
621	0.850937983
622	0.8509229793
623	0.8508991636
624	0.8508680774
625	0.8508518857
626	0.8508277503
627	0.8508022514
628	0.8507828286
629	0.8507638439
630	0.8507381203
631	0.8507150005
632	0.8506928356
633	0.8506692855
634	0.8506486179
635	0.8506251432
636	0.8505941197
637	0.8505718637
638	0.8505436107
639	0.8505140105
640	0.8504882091
641	0.8504666089
642	0.8504352872
643	0.8504106983
644	0.8503765727
645	0.8503580323
646	0.8503320726
647	0.8503124626
648	0.8502886922
649	0.8502672436
650	0.8502433861
651	0.8502226886
652	0.8502026727
653	0.8501876791
654	0.8501626737
655	0.8501461843
656	0.8501249293
657	0.8501082496
658	0.8500872968
659	0.8500675282
660	0.8500460452
661	0.8500248919
662	0.8500050233
663	0.8499806051
664	0.8499550377
665	0.849929116
666	0.8499029671
667	0.8498796665
668	0.8498539038
669	0.8498318117
670	0.8498122641
671	0.8497868083
672	0.8497677213
673	0.849744258
674	0.8497212009
675	0.8496937534
676	0.8496625764
677	0.8496445278
678	0.8496264399
679	0.8496006314
680	0.8495809683
681	0.8495636114
682	0.8495420846
683	0.8495202074
684	0.8494974598
685	0.8494798821
686	0.8494551792
687	0.8494340325
688	0.8494071234
689	0.8493842427
690	0.8493591124
691	0.8493364671
692	0.8493197255
693	0.8492987123
694	0.8492818712
695	0.8492533153
696	0.8492285453
697	0.8492036733
698	0.8491758173
699	0.8491475906
700	0.849124559
701	0.8491056926
702	0.8490819424
703	0.8490629024
704	0.849036909
705	0.8490098326
706	0.8489904217
707	0.8489670129
708	0.8489483217
709	0.8489293583
710	0.8489018946
711	0.8488694222
712	0.8488490579
713	0.8488284412
714	0.8488009315
715	0.8487759408
716	0.8487523227
717	0.8487252347
718	0.8486981021
719	0.8486695042
720	0.8486472205
721	0.8486302463
722	0.8486111844
723	0.8485925948
724	0.8485731572
725	0.8485526967
726	0.8485276198
727	0.8485072679
728	0.8484890117
729	0.8484707246
730	0.8484538353
731	0.8484329138
732	0.8484177223
733	0.848396479
734	0.8483771653
735	0.8483535968
736	0.8483337894
737	0.8483089352
738	0.848281889
739	0.8482552977
740	0.8482342739
741	0.8482076591
742	0.84818161
743	0.8481584656
744	0.8481368681
745	0.8481157544
746	0.8480892567
747	0.8480686183
748	0.8480465571
749	0.8480202986
750	0.8479964148
751	0.8479703788
752	0.8479525635
753	0.8479284169
754	0.8478956387
755	0.8478687819
756	0.8478449844
757	0.8478174431
758	0.8477956236
759	0.8477695732
760	0.847740321
761	0.8477195064
762	0.8476998426
763	0.8476760879
764	0.847656923
765	0.84762919
766	0.8476098388
767	0.8475777683
768	0.8475535236
769	0.8475348421
770	0.8475091706
771	0.8474876371
772	0.8474672308
773	0.8474442134
774	0.8474213699
775	0.8473965236
776	0.8473720564
777	0.8473534961
778	0.8473360851
779	0.8473066229
780	0.8472839355
781	0.8472597113
782	0.8472391577
783	0.8472143535
784	0.8471924837
785	0.8471762729
786	0.8471551111
787	0.8471298759
788	0.8471026732
789	0.8470839251
790	0.8470630018
791	0.8470379989
792	0.8470139695
793	0.8469889844
794	0.8469664414
795	0.8469475618
796	0.84692277
797	0.846905684
798	0.8468870774
799	0.8468642286
800	0.8468497261
801	0.8468283661
802	0.8468027824
803	0.8467864429
804	0.846767842
805	0.846747562
806	0.8467233523
807	0.8466966197
808	0.8466795572
809	0.8466549061
810	0.8466285843
811	0.8466097478
812	0.846590751
813	0.8465671034
814	0.8465436556
815	0.8465153893
816	0.8464896078
817	0.8464640514
818	0.8464415365
819	0.8464143476
820	0.846399891
821	0.8463785087
822	0.8463613064
823	0.8463361169
824	0.8463110507
825	0.8462910283
826	0.8462775217
827	0.8462580613
828	0.846232687
829	0.8462112392
830	0.8461929939
831	0.8461686248
832	0.846145857
833	0.8461215012
834	0.8460978276
835	0.8460776712
836	0.8460566545
837	0.8460424644
838	0.8460196221
839	0.8459989182
840	0.8459769834
841	0.8459510667
842	0.84592514
843	0.8459032787
844	0.8458772971
845	0.8458534349
846	0.845828667
847	0.8458037555
848	0.8457882861
849	0.8457612735
850	0.8457500507
851	0.8457217988
852	0.8456960059
853	0.8456690227
854	0.8456484953
855	0.8456273244
856	0.8456082518
857	0.8455805945
858	0.8455527517
859	0.8455365979
860	0.845517223
861	0.8455019051
862	0.845478098
863	0.8454505516
864	0.8454272417
865	0.8454056384
866	0.8453872333
867	0.8453679756
868	0.8453441005
869	0.8453244517
870	0.8453079133
871	0.845281253
872	0.8452608312
873	0.8452375894
874	0.845217859
875	0.8451870473
876	0.8451645183
877	0.8451425739
878	0.845122536
879	0.8450989363
880	0.8450765472
881	0.8450546581
882	0.845029323
883	0.845009699
884	0.8449890898
885	0.8449680937
886	0.8449454444
887	0.8449217523
888	0.8448966603
889	0.8448723404
890	0.8448512623
891	0.8448315132
892	0.8448089631
893	0.8447885331
894	0.8447634712
895	0.844741217
896	0.8447274111
897	0.8447055729
898	0.8446804894
899	0.8446589343
900	0.8446362596
901	0.8446147234
902	0.8445930315
903	0.8445830367
904	0.8445620432
905	0.8445409953
906	0.8445181514
907	0.8444914874
908	0.8444701534
909	0.8444436263
910	0.8444206961
911	0.8443926917
912	0.8443730815
913	0.8443494282
914	0.8443272481
915	0.8443058643
916	0.8442852813
917	0.8442595833
918	0.844234459
919	0.8442101951
920	0.8441883249
921	0.8441613809
922	0.8441344663
923	0.8441146142
924	0.8440972921
925	0.8440773171
926	0.8440542833
927	0.8440365421
928	0.8440152156
929	0.8439869791
930	0.8439606514
931	0.8439388603
932	0.843918316
933	0.843903384
934	0.8438837944
935	0.8438583318
936	0.843834762
937	0.8438131264
938	0.8437928229
939	0.8437679458
940	0.8437508887
941	0.843728932
942	0.8437072161
943	0.8436895274
944	0.843670395
945	0.8436588259
946	0.8436380209
947	0.8436239593
948	0.8435975943
949	0.843575799
950	0.8435602559
951	0.8435358751
952	0.8435189592
953	0.8434951578
954	0.8434695777
955	0.8434383944
956	0.8434150377
957	0.8433928075
958	0.8433682892
959	0.8433455172
960	0.8433194728
961	0.8432941823
962	0.8432748674
963	0.8432555707
964	0.843236935
965	0.8432136145
966	0.8431926126
967	0.8431681105
968	0.8431458894
969	0.8431236571
970	0.8431076643
971	0.8430929336
972	0.8430722535
973	0.8430565249
974	0.8430352128
975	0.8430179175
976	0.8430004781
977	0.842976198
978	0.8429583835
979	0.8429414473
980	0.8429222156
981	0.8428968894
982	0.8428762404
983	0.8428513365
984	0.8428304302
985	0.8428076871
986	0.8427889194
987	0.8427659113
988	0.8427459844
989	0.8427286933
990	0.8427061628
991	0.8426844759
992	0.8426653906
993	0.8426447084
994	0.842630732
995	0.8426102733
996	0.8425933586
997	0.8425656364
998	0.8425489693
999	0.8425326152
